Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
58,51,Male,T-shirt,Clothing,85,L,Maroon,Summer,4,No,Cash,Next Day Air,No,No,33,Cash,Monthly
59,22,Male,Scarf,Accessories,69,S,Peach,Spring,4.9,No,Venmo,2-Day Shipping,No,No,8,Debit Card,Annually
60,54,Male,Belt,Accessories,26,L,Beige,Summer,3.7,No,Credit Card,Store Pickup,No,No,29,Debit Card,Fortnightly
61,18,Male,T-shirt,Clothing,64,M,Silver,Summer,4.8,No,Credit Card,Next Day Air,No,No,4,Credit Card,Monthly
62,29,Male,Sneakers,Footwear,60,S,Peach,Fall,3.6,No,Bank Transfer,Standard,No,No,19,Debit Card,Monthly
63,59,Male,Gloves,Accessories,36,M,Turquoise,Winter,4.6,No,Debit Card,Express,No,No,10,PayPal,Fortnightly
64,25,Male,Sandals,Footwear,21,L,Orange,Spring,4.3,No,Venmo,2-Day Shipping,No,No,39,Debit Card,Monthly
65,19,Male,Backpack,Accessories,72,S,Cyan,Fall,3.2,No,Bank Transfer,2-Day Shipping,No,No,21,Venmo,Quarterly
66,56,Male,Pants,Clothing,62,S,Silver,Summer,3.8,No,Venmo,Store Pickup,No,No,12,Bank Transfer,Monthly
67,31,Male,T-shirt,Clothing,44,XL,Gold,Winter,4.2,No,Debit Card,Standard,No,No,9,Credit Card,Fortnightly
68,45,Male,Skirt,Clothing,52,M,Brown,Fall,3.4,No,Debit Card,2-Day Shipping,No,No,20,Venmo,Quarterly
69,23,Male,Gloves,Accessories,58,M,Silver,Spring,4.7,No,Bank Transfer,Next Day Air,No,No,44,Cash,Fortnightly
70,18,Male,Blouse,Clothing,77,S,Beige,Spring,3.9,No,PayPal,2-Day Shipping,No,No,16,Debit Card,Every 3 Months
71,43,Male,Blouse,Clothing,99,L,Violet,Spring,4.3,No,Debit Card,Store Pickup,No,No,27,Debit Card,Fortnightly
72,56,Male,Jeans,Clothing,96,XL,Violet,Fall,2.7,No,Bank Transfer,Standard,No,No,14,Cash,Every 3 Months
73,43,Male,T-shirt,Clothing,64,M,Lavender,Summer,4.6,No,Credit Card,Standard,No,No,24,Credit Card,Monthly
74,64,Male,Sweater,Clothing,44,XL,Red,Fall,2.9,No,Credit Card,Express,No,No,49,Bank Transfer,Weekly
75,67,Male,Pants,Clothing,33,L,Purple,Fall,3.6,No,Cash,Free Shipping,No,No,14,Cash,Weekly
76,63,Male,Boots,Footwear,71,M,Brown,Winter,3.9,No,Debit Card,Next Day Air,No,No,6,Credit Card,Quarterly
77,54,Male,Skirt,Clothing,36,M,Gray,Fall,2.6,No,Credit Card,Standard,No,No,20,Venmo,Quarterly
78,69,Male,Gloves,Accessories,62,L,Pink,Fall,3.6,No,Cash,Express,No,No,3,Credit Card,Annually
79,34,Male,Socks,Clothing,29,L,Magenta,Summer,3.4,No,Credit Card,Store Pickup,No,No,5,Credit Card,Monthly
80,56,Male,T-shirt,Clothing,33,L,Charcoal,Spring,3.5,No,Debit Card,Express,No,No,46,Cash,Bi-Weekly
81,34,Male,Blouse,Clothing,33,L,Yellow,Fall,3.1,No,PayPal,2-Day Shipping,No,No,8,Debit Card,Monthly
82,58,Male,Blouse,Clothing,41,M,Red,Winter,4.3,No,Bank Transfer,Standard,No,No,13,Cash,Bi-Weekly
83,44,Male,Scarf,Accessories,54,L,Blue,Winter,5,No,Debit Card,Store Pickup,No,No,25,Bank Transfer,Quarterly
84,25,Male,Backpack,Accessories,58,M,Cyan,Spring,4.9,No,PayPal,Store Pickup,No,No,39,Debit Card,Fortnightly
85,27,Male,Shorts,Clothing,30,S,Pink,Summer,4.3,No,Bank Transfer,Next Day Air,No,No,15,Bank Transfer,Bi-Weekly
86,26,Male,Jewelry,Accessories,53,S,Maroon,Winter,4.4,No,Credit Card,Standard,No,No,35,Cash,Monthly
87,18,Male,Gloves,Accessories,91,L,Beige,Spring,4.4,No,Cash,Next Day Air,No,No,46,Cash,Bi-Weekly
88,64,Male,Hoodie,Clothing,44,XL,Gold,Fall,3.5,No,Cash,Express,No,No,3,PayPal,Monthly
89,62,Male,Hoodie,Clothing,89,XL,Turquoise,Winter,3.4,No,Bank Transfer,Free Shipping,No,No,48,Credit Card,Weekly
90,59,Male,Skirt,Clothing,57,L,Peach,Spring,2.5,No,Debit Card,Next Day Air,No,No,27,Bank Transfer,Weekly
91,36,Male,Sunglasses,Accessories,57,M,Lavender,Spring,3.4,No,Debit Card,Store Pickup,No,No,5,Credit Card,Weekly
92,69,Male,Jewelry,Accessories,74,M,Gray,Summer,2.6,No,Venmo,Next Day Air,No,No,48,Debit Card,Quarterly
93,39,Male,Jacket,Outerwear,30,M,Blue,Fall,4.6,No,Bank Transfer,2-Day Shipping,No,No,12,Venmo,Weekly
94,28,Male,Dress,Clothing,20,L,Red,Summer,3.7,No,Venmo,Express,No,No,10,PayPal,Fortnightly
95,42,Male,Hoodie,Clothing,90,M,Purple,Fall,2.5,No,Credit Card,Free Shipping,No,No,48,Debit Card,Bi-Weekly
96,31,Male,Jeans,Clothing,61,L,Indigo,Fall,4.5,No,Debit Card,Express,No,No,3,Debit Card,Monthly
97,57,Male,Sandals,Footwear,51,M,Gold,Fall,2.9,No,Cash,Standard,No,No,19,Venmo,Monthly
98,53,Male,Sunglasses,Accessories,97,L,Teal,Winter,2.9,No,Venmo,Free Shipping,No,No,11,Debit Card,Fortnightly
99,59,Male,Pants,Clothing,97,L,Magenta,Fall,3.5,No,PayPal,Next Day Air,No,No,25,Venmo,Monthly
100,32,Male,Shorts,Clothing,40,L,Maroon,Winter,4.2,No,Venmo,Store Pickup,No,No,42,PayPal,Weekly
101,65,Male,Jewelry,Accessories,85,S,Blue,Summer,3.3,No,Debit Card,Free Shipping,No,No,34,Cash,Quarterly
102,56,Male,Socks,Clothing,76,S,Beige,Winter,3.9,No,Venmo,Store Pickup,No,No,50,Cash,Quarterly
103,31,Male,Sandals,Footwear,22,S,Olive,Spring,5,No,Bank Transfer,Store Pickup,No,No,21,Venmo,Monthly
104,59,Male,Pants,Clothing,63,M,Gold,Summer,3.3,No,Bank Transfer,Standard,No,No,37,Bank Transfer,Weekly
105,22,Male,T-shirt,Clothing,71,S,Silver,Spring,4.2,No,PayPal,Free Shipping,No,No,46,Cash,Monthly
106,47,Male,Boots,Footwear,35,M,Teal,Summer,4.9,No,Debit Card,2-Day Shipping,No,No,14,Bank Transfer,Fortnightly
107,23,Male,Backpack,Accessories,30,M,Green,Spring,4.6,No,Bank Transfer,2-Day Shipping,No,No,24,PayPal,Fortnightly
108,69,Male,Skirt,Clothing,74,L,Orange,Fall,4.8,No,Cash,Store Pickup,No,No,36,Credit Card,Every 3 Months
109,18,Male,Scarf,Accessories,71,XL,Charcoal,Winter,2.7,No,Credit Card,Next Day Air,No,No,19,Debit Card,Bi-Weekly
110,50,Male,Sweater,Clothing,84,S,Black,Spring,4.3,No,PayPal,Store Pickup,No,No,12,Credit Card,Monthly
111,29,Male,Sandals,Footwear,38,S,Yellow,Fall,3.8,No,Venmo,Express,No,No,13,Debit Card,Quarterly
112,65,Male,Jewelry,Accessories,81,M,Gray,Spring,4.9,No,Credit Card,Express,No,No,32,Debit Card,Bi-Weekly
113,29,Male,Sweater,Clothing,56,S,Charcoal,Winter,3.4,No,Cash,2-Day Shipping,No,No,5,Credit Card,Bi-Weekly
114,49,Male,Skirt,Clothing,48,M,Peach,Winter,3.6,No,Venmo,Express,No,No,29,Cash,Annually
115,28,Male,Shorts,Clothing,97,L,Green,Fall,3.4,No,Venmo,Standard,No,No,40,Credit Card,Fortnightly
116,51,Male,Backpack,Accessories,74,M,Magenta,Fall,4.7,No,PayPal,2-Day Shipping,No,No,44,Cash,Weekly
117,26,Male,Hoodie,Clothing,50,S,Beige,Winter,3,No,PayPal,Next Day Air,No,No,3,Debit Card,Bi-Weekly
118,38,Male,Skirt,Clothing,71,L,Black,Winter,3.4,No,Venmo,Free Shipping,No,No,35,PayPal,Bi-Weekly
119,35,Male,Skirt,Clothing,33,S,Purple,Summer,4.6,No,PayPal,Standard,No,No,33,Debit Card,Monthly
120,34,Male,Backpack,Accessories,56,M,Olive,Summer,3.1,No,Credit Card,Express,No,No,20,PayPal,Bi-Weekly
121,51,Male,Blouse,Clothing,84,M,Purple,Spring,2.8,No,Bank Transfer,Standard,No,No,40,Cash,Every 3 Months
122,47,Male,Shirt,Clothing,36,M,Green,Fall,3.5,No,Cash,Store Pickup,No,No,13,Venmo,Annually
123,18,Male,Gloves,Accessories,63,S,Peach,Summer,4.6,No,PayPal,Standard,No,No,9,PayPal,Monthly
124,64,Male,Sandals,Footwear,36,XL,Blue,Summer,4.3,No,PayPal,Standard,No,No,7,Cash,Annually
125,30,Male,Jacket,Outerwear,63,M,Gray,Fall,4.8,No,Venmo,Free Shipping,No,No,42,PayPal,Quarterly
126,59,Male,Sneakers,Footwear,32,L,Black,Winter,2.9,No,Venmo,Express,No,No,44,Credit Card,Fortnightly
127,66,Male,Backpack,Accessories,93,M,Silver,Spring,3,No,Venmo,Express,No,No,6,PayPal,Annually
128,40,Male,Pants,Clothing,29,M,Pink,Summer,2.9,No,Debit Card,Standard,No,No,8,Cash,Every 3 Months
129,25,Male,Sunglasses,Accessories,92,S,Lavender,Summer,3.7,No,PayPal,Standard,No,No,10,PayPal,Weekly
130,59,Male,Jeans,Clothing,33,L,Brown,Fall,4.7,No,Debit Card,Standard,No,No,46,Venmo,Quarterly
131,66,Male,Pants,Clothing,52,L,Turquoise,Spring,3.5,No,Bank Transfer,Store Pickup,No,No,26,Cash,Weekly
132,54,Male,Jewelry,Accessories,42,S,Olive,Spring,2.7,No,PayPal,Store Pickup,No,No,6,Debit Card,Every 3 Months
133,42,Male,Hoodie,Clothing,36,M,White,Spring,5,No,Cash,Free Shipping,No,No,47,Credit Card,Every 3 Months
134,48,Male,Sandals,Footwear,67,L,Violet,Summer,4.1,No,Cash,Next Day Air,No,No,28,Venmo,Annually
135,34,Male,Jacket,Outerwear,43,L,Gold,Winter,2.7,No,Debit Card,Free Shipping,No,No,23,Bank Transfer,Annually
136,19,Male,Blouse,Clothing,68,XL,Violet,Spring,4.8,No,Debit Card,Free Shipping,No,No,45,Cash,Fortnightly
137,70,Male,Jewelry,Accessories,60,S,Teal,Summer,4.3,No,PayPal,2-Day Shipping,No,No,44,PayPal,Every 3 Months
138,43,Male,Socks,Clothing,53,M,Olive,Summer,4.5,No,Venmo,2-Day Shipping,No,No,11,Bank Transfer,Monthly
139,46,Male,Jeans,Clothing,23,L,Blue,Spring,3.8,No,Bank Transfer,Standard,No,No,39,Debit Card,Bi-Weekly
140,66,Male,Gloves,Accessories,57,L,Magenta,Winter,3.7,No,Bank Transfer,Store Pickup,No,No,20,PayPal,Every 3 Months
141,50,Male,Hat,Accessories,89,L,Gray,Fall,3.9,No,Venmo,2-Day Shipping,No,No,48,PayPal,Fortnightly
142,55,Male,Shoes,Footwear,99,XL,Peach,Winter,3.3,No,PayPal,Standard,No,No,46,Credit Card,Quarterly
143,63,Male,Pants,Clothing,28,M,Cyan,Fall,3.4,No,Credit Card,Express,No,No,22,PayPal,Monthly
144,32,Male,Socks,Clothing,53,L,Violet,Summer,3.8,No,Debit Card,Next Day Air,No,No,45,Cash,Annually
145,30,Male,Hoodie,Clothing,45,M,Gold,Winter,2.7,No,Debit Card,Free Shipping,No,No,49,Cash,Every 3 Months
146,35,Male,Hoodie,Clothing,38,M,Gold,Winter,2.9,No,Debit Card,2-Day Shipping,No,No,9,Credit Card,Every 3 Months
147,59,Male,Pants,Clothing,49,M,White,Summer,4.5,No,Bank Transfer,Standard,No,No,41,Credit Card,Quarterly
148,59,Male,Shirt,Clothing,32,M,Gray,Summer,2.6,No,Debit Card,Store Pickup,No,No,2,PayPal,Monthly
149,54,Male,T-shirt,Clothing,37,L,Brown,Winter,3.1,No,Debit Card,Next Day Air,No,No,39,PayPal,Bi-Weekly
150,63,Male,Dress,Clothing,80,L,Gray,Winter,4.7,No,Venmo,Store Pickup,No,No,12,PayPal,Quarterly
151,43,Male,Backpack,Accessories,78,L,Blue,Summer,4.6,No,Cash,Free Shipping,No,No,26,PayPal,Every 3 Months
152,33,Male,Gloves,Accessories,53,L,Gold,Summer,2.7,No,Bank Transfer,Next Day Air,No,No,32,Bank Transfer,Bi-Weekly
153,57,Male,Shoes,Footwear,82,L,Yellow,Summer,4.6,No,PayPal,2-Day Shipping,No,No,50,Cash,Bi-Weekly
154,25,Male,Skirt,Clothing,33,XL,Green,Spring,4.8,No,Cash,Standard,No,No,3,PayPal,Fortnightly
155,26,Male,Gloves,Accessories,77,M,Pink,Winter,4.2,No,Bank Transfer,Free Shipping,No,No,3,Venmo,Quarterly
156,50,Male,Hoodie,Clothing,56,M,Pink,Winter,4.9,No,Credit Card,Express,No,No,37,Cash,Monthly
157,70,Male,Socks,Clothing,37,M,Pink,Winter,4.9,No,Cash,Express,No,No,20,Credit Card,Fortnightly
158,68,Male,Gloves,Accessories,54,M,Cyan,Spring,4.5,No,Venmo,Store Pickup,No,No,26,Cash,Bi-Weekly
159,39,Male,Shorts,Clothing,67,M,Gray,Winter,2.7,No,Cash,Store Pickup,No,No,47,Cash,Quarterly
160,46,Male,Shoes,Footwear,90,M,White,Fall,3.1,No,Credit Card,Store Pickup,No,No,7,Credit Card,Every 3 Months
161,57,Male,Jeans,Clothing,72,L,Red,Summer,3.3,No,Bank Transfer,2-Day Shipping,No,No,40,Credit Card,Annually
162,47,Male,Boots,Footwear,59,L,Black,Summer,2.6,No,Cash,Free Shipping,No,No,45,Debit Card,Quarterly
163,40,Male,Hat,Accessories,45,M,Silver,Fall,4.4,No,Debit Card,Standard,No,No,20,PayPal,Fortnightly
164,52,Male,Shorts,Clothing,30,L,Pink,Spring,3.9,No,Bank Transfer,Standard,No,No,11,Credit Card,Weekly
165,40,Male,Pants,Clothing,51,S,Cyan,Summer,4.6,No,PayPal,Express,No,No,50,Debit Card,Monthly
166,67,Male,Sweater,Clothing,90,M,White,Fall,4.9,No,Venmo,Express,No,No,25,Debit Card,Quarterly
167,67,Male,Jacket,Outerwear,95,XL,Purple,Winter,3.7,No,Venmo,Express,No,No,5,Credit Card,Fortnightly
168,37,Male,Dress,Clothing,81,L,Yellow,Fall,3.7,No,Venmo,Standard,No,No,4,Venmo,Annually
169,67,Male,Shirt,Clothing,70,S,Blue,Spring,4.2,No,Credit Card,Standard,No,No,25,Credit Card,Weekly
170,64,Male,Dress,Clothing,32,S,Cyan,Winter,3.5,No,PayPal,Next Day Air,No,No,11,Bank Transfer,Fortnightly
171,28,Male,Belt,Accessories,94,M,Indigo,Spring,2.9,No,Debit Card,Next Day Air,No,No,4,Credit Card,Bi-Weekly
172,54,Male,Hat,Accessories,29,XL,Indigo,Spring,3.4,No,PayPal,Next Day Air,No,No,1,Venmo,Monthly
173,54,Male,Backpack,Accessories,31,M,Silver,Summer,3.3,No,Debit Card,Express,No,No,48,PayPal,Every 3 Months
174,24,Male,Skirt,Clothing,20,XL,Red,Fall,4.5,No,Debit Card,Standard,No,No,9,Venmo,Every 3 Months
175,27,Male,Gloves,Accessories,44,M,Peach,Winter,4.6,No,Credit Card,2-Day Shipping,No,No,2,PayPal,Fortnightly
176,53,Male,Jacket,Outerwear,77,L,Turquoise,Fall,2.9,No,Credit Card,Express,No,No,4,Cash,Quarterly
177,32,Male,Handbag,Accessories,51,M,Pink,Spring,3.2,No,Debit Card,Next Day Air,No,No,43,PayPal,Fortnightly
178,24,Male,Sandals,Footwear,49,M,Teal,Summer,2.6,No,Debit Card,Free Shipping,No,No,32,Bank Transfer,Annually
179,45,Male,Sunglasses,Accessories,78,L,Magenta,Spring,3.8,No,Cash,Store Pickup,No,No,1,Cash,Quarterly
180,49,Male,Jeans,Clothing,98,L,Blue,Spring,2.8,No,PayPal,Store Pickup,No,No,38,Debit Card,Fortnightly
181,51,Male,Sandals,Footwear,94,M,Green,Winter,4.4,No,Venmo,Store Pickup,No,No,25,PayPal,Fortnightly
182,69,Male,Shoes,Footwear,91,L,Violet,Summer,4.7,No,Cash,Express,No,No,42,PayPal,Quarterly
183,41,Male,Sunglasses,Accessories,77,M,Turquoise,Summer,2.7,No,PayPal,2-Day Shipping,No,No,32,PayPal,Monthly
184,59,Male,Scarf,Accessories,97,M,Pink,Summer,2.6,No,Credit Card,Next Day Air,No,No,21,Debit Card,Quarterly
185,26,Male,Skirt,Clothing,58,M,Black,Summer,3.4,No,Bank Transfer,2-Day Shipping,No,No,26,PayPal,Fortnightly
186,23,Male,Gloves,Accessories,97,M,Gold,Spring,3.9,No,Cash,2-Day Shipping,No,No,6,Credit Card,Fortnightly
187,62,Male,Coat,Outerwear,48,L,Green,Summer,3.4,No,Debit Card,2-Day Shipping,No,No,14,Venmo,Quarterly
188,69,Male,Belt,Accessories,23,XL,White,Summer,3.4,No,Debit Card,Express,No,No,4,Cash,Quarterly
189,46,Male,Pants,Clothing,79,M,Gold,Winter,3.9,No,Credit Card,Free Shipping,No,No,26,Bank Transfer,Weekly
190,35,Male,Jewelry,Accessories,42,S,Charcoal,Spring,4,No,Cash,Express,No,No,39,PayPal,Bi-Weekly
191,32,Male,Backpack,Accessories,95,L,White,Spring,3.4,No,Debit Card,2-Day Shipping,No,No,15,PayPal,Annually
192,46,Male,Sneakers,Footwear,29,M,Brown,Summer,3.7,No,Venmo,Next Day Air,No,No,1,Venmo,Every 3 Months
193,33,Male,Hoodie,Clothing,98,L,Gold,Winter,4.9,No,PayPal,2-Day Shipping,No,No,28,Venmo,Monthly
194,32,Male,Blouse,Clothing,96,S,Purple,Spring,5,No,Cash,Express,No,No,17,Cash,Weekly
195,33,Male,Sunglasses,Accessories,66,M,Brown,Fall,2.9,No,Bank Transfer,Next Day Air,No,No,24,Credit Card,Weekly
196,67,Male,Boots,Footwear,80,S,Teal,Spring,3,No,Credit Card,Standard,No,No,29,Debit Card,Quarterly
197,67,Male,Sneakers,Footwear,27,L,Indigo,Summer,3.3,No,Cash,Next Day Air,No,No,18,Cash,Every 3 Months
198,42,Male,Backpack,Accessories,25,M,Purple,Fall,4.7,No,PayPal,Express,No,No,10,Debit Card,Bi-Weekly
199,20,Male,Pants,Clothing,45,M,Orange,Fall,3.4,No,Debit Card,2-Day Shipping,No,No,19,Cash,Quarterly
200,39,Male,Socks,Clothing,89,L,Indigo,Winter,4.6,No,Credit Card,2-Day Shipping,No,No,26,Debit Card,Monthly
201,41,Female,Blouse,Clothing,67,XL,Violet,Winter,4,No,Bank Transfer,Standard,No,No,23,Cash,Bi-Weekly
202,41,Female,Blouse,Clothing,43,L,Olive,Winter,2.6,No,Credit Card,Free Shipping,No,No,46,Credit Card,Quarterly
203,27,Female,Boots,Footwear,32,S,Orange,Spring,4.6,No,Debit Card,Standard,No,No,19,PayPal,Bi-Weekly
204,38,Female,Scarf,Accessories,39,S,Teal,Spring,3.5,No,Venmo,2-Day Shipping,No,No,24,Credit Card,Every 3 Months
205,41,Female,Sandals,Footwear,41,M,Gray,Spring,4,No,Bank Transfer,2-Day Shipping,No,No,43,Venmo,Monthly
206,58,Female,Sunglasses,Accessories,53,L,Black,Winter,4.8,No,PayPal,Standard,No,No,14,Debit Card,Fortnightly
207,58,Female,Coat,Outerwear,27,M,Indigo,Spring,3.9,No,PayPal,Standard,No,No,7,Venmo,Annually
208,19,Female,Sunglasses,Accessories,82,XL,Lavender,Summer,3.7,No,Cash,Next Day Air,No,No,50,PayPal,Bi-Weekly
209,43,Female,Blouse,Clothing,87,M,Beige,Winter,3.1,No,Debit Card,Store Pickup,No,No,15,Debit Card,Every 3 Months
210,27,Female,Backpack,Accessories,78,M,Indigo,Winter,3,No,Bank Transfer,Next Day Air,No,No,40,Credit Card,Every 3 Months
211,32,Female,Belt,Accessories,32,M,Blue,Summer,2.9,No,Bank Transfer,Store Pickup,No,No,41,Credit Card,Monthly
212,28,Female,Socks,Clothing,38,XL,Orange,Fall,2.9,No,Debit Card,Next Day Air,No,No,34,Venmo,Quarterly
213,48,Female,Shoes,Footwear,37,M,Yellow,Winter,4,No,Cash,Standard,No,No,27,Cash,Bi-Weekly
